what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419027428461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419027443036
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419027445692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419027447130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419027497676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419027579737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419027590859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1419027758233
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419027797743
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419027801471
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419027896831
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419027900640
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419027910025
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419027922571
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1419027930502
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419027969847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1419027975055
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1419027976215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419027981185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028046700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028052531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1419028088672
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1419028127293
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1419028129261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1419028176289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1419028184419
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419028231201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1419028231208
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419028231405
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028233898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028234709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028236062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028236112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028239651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028242071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028254729
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419028287880
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1419028287883
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419028288001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028290191
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028299548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028300603
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028308503
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419028324300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1419028324307
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419028324420
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1419028326264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028326929
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028328510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028331114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028347725
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1419028349496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028402138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028407542
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028408979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028410952
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419028501855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1419028501862
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419028501968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028511481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028521720
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419028539410
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1419028539413
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1419028539545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028540675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1419028542497
